  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.677238                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
2.0000e-01   1.2374e-05   1.6163e+04
2.1000e-01   1.2519e-05   1.6774e+04
2.2000e-01   1.2664e-05   1.7373e+04
2.3000e-01   1.2805e-05   1.7962e+04
2.4000e-01   1.2943e-05   1.8544e+04
2.5000e-01   1.3079e-05   1.9115e+04
2.6000e-01   1.3213e-05   1.9678e+04
2.7000e-01   1.3343e-05   2.0236e+04
2.8000e-01   1.3473e-05   2.0783e+04
2.9000e-01   1.3600e-05   2.1324e+04
3.0000e-01   1.3725e-05   2.1859e+04
3.1000e-01   1.3847e-05   2.2388e+04
3.2000e-01   1.3967e-05   2.2911e+04
3.3000e-01   1.4085e-05   2.3429e+04
3.4000e-01   1.4202e-05   2.3941e+04
3.5000e-01   1.4315e-05   2.4449e+04
3.6000e-01   1.4428e-05   2.4952e+04
3.7000e-01   1.4538e-05   2.5450e+04
3.8000e-01   1.4646e-05   2.5946e+04
3.9000e-01   1.4753e-05   2.6436e+04
4.0000e-01   1.4859e-05   2.6920e+04
4.1000e-01   1.4961e-05   2.7405e+04
4.2000e-01   1.5061e-05   2.7886e+04
4.3000e-01   1.5161e-05   2.8362e+04
4.4000e-01   1.5259e-05   2.8835e+04
4.5000e-01   1.5355e-05   2.9307e+04
4.6000e-01   1.5449e-05   2.9775e+04
4.7000e-01   1.5541e-05   3.0242e+04
4.8000e-01   1.5633e-05   3.0705e+04
4.9000e-01   1.5722e-05   3.1166e+04
5.0000e-01   1.5810e-05   3.1625e+04
5.1000e-01   1.5897e-05   3.2081e+04
5.2000e-01   1.5982e-05   3.2536e+04
5.3000e-01   1.6066e-05   3.2989e+04
5.4000e-01   1.6149e-05   3.3439e+04
5.5000e-01   1.6230e-05   3.3888e+04
5.6000e-01   1.6310e-05   3.4336e+04
5.7000e-01   1.6388e-05   3.4781e+04
5.8000e-01   1.6465e-05   3.5227e+04
5.9000e-01   1.6541e-05   3.5669e+04
6.0000e-01   1.6616e-05   3.6110e+04
6.1000e-01   1.6689e-05   3.6551e+04
6.2000e-01   1.6761e-05   3.6991e+04
6.3000e-01   1.6833e-05   3.7427e+04
6.4000e-01   1.6903e-05   3.7863e+04
6.5000e-01   1.6972e-05   3.8299e+04
6.6000e-01   1.7038e-05   3.8737e+04
6.7000e-01   1.7105e-05   3.9170e+04
6.8000e-01   1.7171e-05   3.9602e+04
6.9000e-01   1.7235e-05   4.0035e+04
7.0000e-01   1.7298e-05   4.0467e+04
7.1000e-01   1.7361e-05   4.0897e+04
7.2000e-01   1.7422e-05   4.1326e+04
7.3000e-01   1.7483e-05   4.1756e+04
7.4000e-01   1.7543e-05   4.2182e+04
7.5000e-01   1.7602e-05   4.2609e+04
7.6000e-01   1.7659e-05   4.3037e+04
7.7000e-01   1.7717e-05   4.3462e+04
7.8000e-01   1.7773e-05   4.3888e+04
7.9000e-01   1.7828e-05   4.4312e+04
8.0000e-01   1.7883e-05   4.4734e+04
8.1000e-01   1.7937e-05   4.5159e+04
8.2000e-01   1.7989e-05   4.5584e+04
8.3000e-01   1.8041e-05   4.6006e+04
8.4000e-01   1.8092e-05   4.6429e+04
8.5000e-01   1.8142e-05   4.6852e+04
8.6000e-01   1.8193e-05   4.7271e+04
8.7000e-01   1.8242e-05   4.7691e+04
8.8000e-01   1.8291e-05   4.8111e+04
8.9000e-01   1.8338e-05   4.8533e+04
9.0000e-01   1.8386e-05   4.8952e+04
9.1000e-01   1.8432e-05   4.9372e+04
9.2000e-01   1.8478e-05   4.9790e+04
9.3000e-01   1.8523e-05   5.0208e+04
9.4000e-01   1.8567e-05   5.0627e+04
9.5000e-01   1.8610e-05   5.1048e+04
9.6000e-01   1.8654e-05   5.1464e+04
9.7000e-01   1.8697e-05   5.1881e+04
9.8000e-01   1.8739e-05   5.2299e+04
9.9000e-01   1.8780e-05   5.2715e+04
1.0000e+00   1.8821e-05   5.3131e+04
1.0000e+00   1.8819e-05   5.3137e+04
9.9000e-01   1.8774e-05   5.2731e+04
9.8000e-01   1.8729e-05   5.2327e+04
9.7000e-01   1.8682e-05   5.1920e+04
9.6000e-01   1.8635e-05   5.1515e+04
9.5000e-01   1.8588e-05   5.1109e+04
9.4000e-01   1.8540e-05   5.0701e+04
9.3000e-01   1.8492e-05   5.0293e+04
9.2000e-01   1.8442e-05   4.9885e+04
9.1000e-01   1.8393e-05   4.9475e+04
9.0000e-01   1.8342e-05   4.9067e+04
8.9000e-01   1.8292e-05   4.8656e+04
8.8000e-01   1.8240e-05   4.8245e+04
8.7000e-01   1.8189e-05   4.7832e+04
8.6000e-01   1.8136e-05   4.7421e+04
8.5000e-01   1.8082e-05   4.7008e+04
8.4000e-01   1.8029e-05   4.6592e+04
8.3000e-01   1.7973e-05   4.6180e+04
8.2000e-01   1.7918e-05   4.5765e+04
8.1000e-01   1.7862e-05   4.5348e+04
8.0000e-01   1.7804e-05   4.4933e+04
7.9000e-01   1.7747e-05   4.4515e+04
7.8000e-01   1.7688e-05   4.4097e+04
7.7000e-01   1.7629e-05   4.3677e+04
7.6000e-01   1.7569e-05   4.3257e+04
7.5000e-01   1.7508e-05   4.2837e+04
7.4000e-01   1.7446e-05   4.2417e+04
7.3000e-01   1.7384e-05   4.1994e+04
7.2000e-01   1.7319e-05   4.1572e+04
7.1000e-01   1.7256e-05   4.1146e+04
7.0000e-01   1.7190e-05   4.0723e+04
6.9000e-01   1.7124e-05   4.0295e+04
6.8000e-01   1.7056e-05   3.9869e+04
6.7000e-01   1.6988e-05   3.9440e+04
6.6000e-01   1.6919e-05   3.9010e+04
6.5000e-01   1.6849e-05   3.8578e+04
6.4000e-01   1.6777e-05   3.8147e+04
6.3000e-01   1.6705e-05   3.7714e+04
6.2000e-01   1.6632e-05   3.7278e+04
6.1000e-01   1.6557e-05   3.6843e+04
6.0000e-01   1.6481e-05   3.6406e+04
5.9000e-01   1.6404e-05   3.5966e+04
5.8000e-01   1.6326e-05   3.5526e+04
5.7000e-01   1.6247e-05   3.5083e+04
5.6000e-01   1.6167e-05   3.4640e+04
5.5000e-01   1.6085e-05   3.4193e+04
5.4000e-01   1.6002e-05   3.3745e+04
5.3000e-01   1.5918e-05   3.3297e+04
5.2000e-01   1.5831e-05   3.2846e+04
5.1000e-01   1.5745e-05   3.2391e+04
5.0000e-01   1.5656e-05   3.1936e+04
4.9000e-01   1.5566e-05   3.1478e+04
4.8000e-01   1.5474e-05   3.1019e+04
4.7000e-01   1.5382e-05   3.0556e+04
4.6000e-01   1.5289e-05   3.0088e+04
4.5000e-01   1.5192e-05   2.9621e+04
4.4000e-01   1.5095e-05   2.9148e+04
4.3000e-01   1.4996e-05   2.8675e+04
4.2000e-01   1.4894e-05   2.8199e+04
4.1000e-01   1.4793e-05   2.7715e+04
4.0000e-01   1.4689e-05   2.7232e+04
3.9000e-01   1.4583e-05   2.6743e+04
3.8000e-01   1.4475e-05   2.6252e+04
3.7000e-01   1.4366e-05   2.5756e+04
3.6000e-01   1.4255e-05   2.5255e+04
3.5000e-01   1.4143e-05   2.4748e+04
3.4000e-01   1.4027e-05   2.4239e+04
3.3000e-01   1.3910e-05   2.3724e+04
3.2000e-01   1.3791e-05   2.3204e+04
3.1000e-01   1.3669e-05   2.2678e+04
3.0000e-01   1.3547e-05   2.2144e+04
2.9000e-01   1.3422e-05   2.1607e+04
2.8000e-01   1.3294e-05   2.1062e+04
2.7000e-01   1.3164e-05   2.0510e+04
2.6000e-01   1.3033e-05   1.9949e+04
2.5000e-01   1.2899e-05   1.9381e+04
2.4000e-01   1.2762e-05   1.8805e+04
2.3000e-01   1.2625e-05   1.8219e+04
2.2000e-01   1.2483e-05   1.7624e+04
2.1000e-01   1.2338e-05   1.7020e+04
2.0000e-01   1.2192e-05   1.6404e+04
1.9000e-01   1.2044e-05   1.5775e+04
1.8000e-01   1.1893e-05   1.5135e+04
1.7000e-01   1.1739e-05   1.4482e+04
1.6000e-01   1.1582e-05   1.3815e+04
1.5000e-01   1.1423e-05   1.3131e+04
1.4000e-01   1.1261e-05   1.2433e+04
1.3000e-01   1.1096e-05   1.1716e+04
1.2000e-01   1.0928e-05   1.0981e+04
1.1000e-01   1.0758e-05   1.0225e+04
1.0000e-01   1.0584e-05   9.4482e+03
9.0000e-02   1.0407e-05   8.6479e+03
8.0000e-02   1.0227e-05   7.8225e+03
7.0000e-02   1.0045e-05   6.9688e+03
6.0000e-02   9.8566e-06   6.0873e+03
5.0000e-02   9.6669e-06   5.1723e+03
4.0000e-02   9.4751e-06   4.2216e+03
3.0000e-02   9.2785e-06   3.2333e+03
2.0000e-02   9.0786e-06   2.2030e+03
1.0000e-02   8.8758e-06   1.1267e+03
0.0000e+00   8.6708e-06   0.0000e+00
