,,,T,V
,,,0.526,0.94
,,,0.528,0.96
,,,0.53,0.96
,,,0.532,0.96
,,,0.534,0.98
,,,0.536,1
,,,0.538,0.98
,,,0.54,1
,,,0.542,1
,,,0.544,1.02
,,,0.546,1.02
,,,0.548,1.02
,,,0.55,1.04
,,,0.552,1.04
,,,0.554,1.04
,,,0.556,1.04
,,,0.558,1.06
,,,0.56,1.06
,,,0.562,1.06
,,,0.564,1.08
,,,0.566,1.08
,,,0.568,1.1
,,,0.57,1.08
,,,0.572,1.1
,,,0.574,1.08
,,,0.576,1.1
,,,0.578,1.12
,,,0.58,1.14
,,,0.582,1.14
,,,0.584,1.14
,,,0.586,1.14
,,,0.588,1.14
,,,0.59,1.16
,,,0.592,1.14
,,,0.594,1.18
,,,0.596,1.18
,,,0.598,1.18
,,,0.6,1.22
,,,0.602,1.18
,,,0.604,1.2
,,,0.606,1.18
,,,0.608,1.22
,,,0.61,1.22
,,,0.612,1.22
,,,0.614,1.24
,,,0.616,1.22
,,,0.618,1.22
,,,0.62,1.24
,,,0.622,1.26
,,,0.624,1.3
,,,0.626,1.28
,,,0.628,1.3
,,,0.63,1.3
,,,0.632,1.32
,,,0.634,1.3
,,,0.636,1.32
,,,0.638,1.32
,,,0.64,1.32
,,,0.642,1.32
,,,0.644,1.32
,,,0.646,1.34
,,,0.648,1.32
,,,0.65,1.34
,,,0.652,1.34
,,,0.654,1.34
,,,0.656,1.36
,,,0.658,1.38
,,,0.66,1.36
,,,0.662,1.38
,,,0.664,1.4
,,,0.666,1.38
,,,0.668,1.38
,,,0.67,1.4
,,,0.672,1.4
,,,0.674,1.4
,,,0.676,1.4
,,,0.678,1.42
,,,0.68,1.44
,,,0.682,1.44
,,,0.684,1.44
,,,0.686,1.44
,,,0.688,1.44
,,,0.69,1.44
,,,0.692,1.46
,,,0.694,1.46
,,,0.696,1.46
,,,0.698,1.48
,,,0.7,1.46
,,,0.702,1.46
,,,0.704,1.48
,,,0.706,1.48
,,,0.708,1.48
,,,0.71,1.5
,,,0.712,1.5
,,,0.714,1.5
,,,0.716,1.52
,,,0.718,1.5
,,,0.72,1.52
,,,0.722,1.52
,,,0.724,1.52
,,,0.726,1.54
,,,0.728,1.54
,,,0.73,1.56
,,,0.732,1.56
,,,0.734,1.56
,,,0.736,1.56
,,,0.738,1.54
,,,0.74,1.56
,,,0.742,1.56
,,,0.744,1.56
,,,0.746,1.58
,,,0.748,1.56
,,,0.75,1.58
,,,0.752,1.58
,,,0.754,1.6
,,,0.756,1.58
,,,0.758,1.58
,,,0.76,1.58
,,,0.762,1.6
,,,0.764,1.6
,,,0.766,1.58
,,,0.768,1.6
,,,0.77,1.6
,,,0.772,1.62
,,,0.774,1.62
,,,0.776,1.62
,,,0.778,1.62
,,,0.78,1.62
,,,0.782,1.64
,,,0.784,1.62
,,,0.786,1.6
,,,0.788,1.62
,,,0.79,1.6
,,,0.792,1.64
,,,0.794,1.6
,,,0.796,1.62
,,,0.798,1.6
,,,0.8,1.64
,,,0.802,1.62
,,,0.804,1.62
,,,0.806,1.62
,,,0.808,1.64
,,,0.81,1.64
,,,0.812,1.64
,,,0.814,1.64
,,,0.816,1.68
,,,0.818,1.66
,,,0.82,1.66
,,,0.822,1.66
,,,0.824,1.68
,,,0.826,1.68
,,,0.828,1.68
,,,0.83,1.7
,,,0.832,1.68
,,,0.834,1.68
,,,0.836,1.7
,,,0.838,1.7
,,,0.84,1.7
,,,0.842,1.7
,,,0.844,1.68
,,,0.846,1.72
,,,0.848,1.7
,,,0.85,1.72
,,,0.852,1.72
,,,0.854,1.72
,,,0.856,1.72
,,,0.858,1.72
,,,0.86,1.72
,,,0.862,1.72
,,,0.864,1.7
,,,0.866,1.72
,,,0.868,1.74
,,,0.87,1.72
,,,0.872,1.72
,,,0.874,1.72
,,,0.876,1.72
,,,0.878,1.72
,,,0.88,1.72
,,,0.882,1.72
,,,0.884,1.72
,,,0.886,1.74
,,,0.888,1.74
,,,0.89,1.78
,,,0.892,1.76
,,,0.894,1.76
,,,0.896,1.76
,,,0.898,1.78
,,,0.9,1.76
,,,0.902,1.76
,,,0.904,1.78
,,,0.906,1.78
,,,0.908,1.78
,,,0.91,1.78
,,,0.912,1.78
,,,0.914,1.76
,,,0.916,1.78
,,,0.918,1.78
,,,0.92,1.78
,,,0.922,1.78
,,,0.924,1.78
,,,0.926,1.8
,,,0.928,1.8
,,,0.93,1.8
,,,0.932,1.8
,,,0.934,1.8
,,,0.936,1.8
,,,0.938,1.78
,,,0.94,1.8
,,,0.942,1.8
,,,0.944,1.82
,,,0.946,1.78
,,,0.948,1.8
,,,0.95,1.82
,,,0.952,1.82
,,,0.954,1.8
,,,0.956,1.82
,,,0.958,1.82
,,,0.96,1.8
,,,0.962,1.82
,,,0.964,1.82
,,,0.966,1.82
,,,0.968,1.82
,,,0.97,1.8
,,,0.972,1.82
,,,0.974,1.82
,,,0.976,1.82
,,,0.978,1.82
,,,0.98,1.84
,,,0.982,1.84
,,,0.984,1.84
,,,0.986,1.84
,,,0.988,1.84
,,,0.99,1.84
,,,0.992,1.86
,,,0.994,1.86
,,,0.996,1.86
,,,0.998,1.84
,,,1,1.86
,,,1.002,1.86
,,,1.004,1.88
,,,1.006,1.84
,,,1.008,1.86
,,,1.01,1.88
,,,1.012,1.86
,,,1.014,1.86
,,,1.016,1.84
,,,1.018,1.86
,,,1.02,1.86
,,,1.022,1.86
,,,1.024,1.84
,,,1.026,1.86
,,,1.028,1.86
,,,1.03,1.88
,,,1.032,1.88
,,,1.034,1.88
,,,1.036,1.88
,,,1.038,1.88
,,,1.04,1.88
,,,1.042,1.88
,,,1.044,1.88
,,,1.046,1.88
,,,1.048,1.9
,,,1.05,1.9
,,,1.052,1.9
,,,1.054,1.88
,,,1.056,1.88
,,,1.058,1.88
,,,1.06,1.88
,,,1.062,1.9
,,,1.064,1.9
,,,1.066,1.9
,,,1.068,1.9
,,,1.07,1.9
,,,1.072,1.9
