  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.671741                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
1.1000e-01   1.4302e-04   7.6912e+02
1.2000e-01   1.5594e-04   7.6952e+02
1.3000e-01   1.6897e-04   7.6935e+02
1.4000e-01   1.8200e-04   7.6924e+02
1.5000e-01   1.9501e-04   7.6921e+02
1.6000e-01   2.0793e-04   7.6950e+02
1.7000e-01   2.2095e-04   7.6942e+02
1.8000e-01   2.3397e-04   7.6933e+02
1.9000e-01   2.4700e-04   7.6925e+02
2.0000e-01   2.5991e-04   7.6949e+02
2.1000e-01   2.7294e-04   7.6940e+02
2.2000e-01   2.8596e-04   7.6934e+02
2.3000e-01   2.9898e-04   7.6928e+02
2.4000e-01   3.1190e-04   7.6948e+02
2.5000e-01   3.2492e-04   7.6943e+02
2.6000e-01   3.3794e-04   7.6937e+02
2.7000e-01   3.5085e-04   7.6955e+02
2.8000e-01   3.6387e-04   7.6951e+02
2.9000e-01   3.7688e-04   7.6948e+02
3.0000e-01   3.8991e-04   7.6941e+02
3.1000e-01   4.0281e-04   7.6959e+02
3.2000e-01   4.1582e-04   7.6957e+02
3.3000e-01   4.2881e-04   7.6957e+02
3.4000e-01   4.4182e-04   7.6955e+02
3.5000e-01   4.5481e-04   7.6955e+02
3.6000e-01   4.6772e-04   7.6969e+02
3.7000e-01   4.8072e-04   7.6968e+02
3.8000e-01   4.9371e-04   7.6968e+02
3.9000e-01   5.0670e-04   7.6968e+02
4.0000e-01   5.1969e-04   7.6969e+02
4.1000e-01   5.3268e-04   7.6969e+02
4.2000e-01   5.4557e-04   7.6984e+02
4.3000e-01   5.5856e-04   7.6984e+02
4.4000e-01   5.7154e-04   7.6986e+02
4.5000e-01   5.8452e-04   7.6986e+02
4.6000e-01   5.9748e-04   7.6991e+02
4.7000e-01   6.1035e-04   7.7004e+02
4.8000e-01   6.2333e-04   7.7006e+02
4.9000e-01   6.3630e-04   7.7007e+02
5.0000e-01   6.4927e-04   7.7010e+02
5.1000e-01   6.6224e-04   7.7011e+02
5.2000e-01   6.7511e-04   7.7025e+02
5.3000e-01   6.8807e-04   7.7027e+02
5.4000e-01   7.0103e-04   7.7029e+02
5.5000e-01   7.1399e-04   7.7032e+02
5.6000e-01   7.2695e-04   7.7035e+02
5.7000e-01   7.3982e-04   7.7046e+02
5.8000e-01   7.5276e-04   7.7050e+02
5.9000e-01   7.6572e-04   7.7052e+02
6.0000e-01   7.7867e-04   7.7054e+02
6.1000e-01   7.9162e-04   7.7057e+02
6.2000e-01   8.0447e-04   7.7070e+02
6.3000e-01   8.1741e-04   7.7073e+02
6.4000e-01   8.3036e-04   7.7075e+02
6.5000e-01   8.4330e-04   7.7078e+02
6.6000e-01   8.5615e-04   7.7089e+02
6.7000e-01   8.6908e-04   7.7093e+02
6.8000e-01   8.8201e-04   7.7096e+02
6.9000e-01   8.9494e-04   7.7101e+02
7.0000e-01   9.0777e-04   7.7112e+02
7.1000e-01   9.2070e-04   7.7115e+02
7.2000e-01   9.3363e-04   7.7118e+02
7.3000e-01   9.4655e-04   7.7122e+02
7.4000e-01   9.5939e-04   7.7133e+02
7.5000e-01   9.7230e-04   7.7137e+02
7.6000e-01   9.8522e-04   7.7140e+02
7.7000e-01   9.9811e-04   7.7146e+02
7.8000e-01   1.0109e-03   7.7157e+02
7.9000e-01   1.0238e-03   7.7160e+02
8.0000e-01   1.0368e-03   7.7164e+02
8.1000e-01   1.0497e-03   7.7168e+02
8.2000e-01   1.0625e-03   7.7179e+02
8.3000e-01   1.0754e-03   7.7182e+02
8.4000e-01   1.0883e-03   7.7186e+02
8.5000e-01   1.1011e-03   7.7197e+02
8.6000e-01   1.1140e-03   7.7201e+02
8.7000e-01   1.1269e-03   7.7205e+02
8.8000e-01   1.1398e-03   7.7209e+02
8.9000e-01   1.1527e-03   7.7210e+02
9.0000e-01   1.1656e-03   7.7213e+02
9.1000e-01   1.1785e-03   7.7217e+02
9.2000e-01   1.1914e-03   7.7220e+02
9.3000e-01   1.2043e-03   7.7226e+02
9.4000e-01   1.2170e-03   7.7238e+02
9.5000e-01   1.2299e-03   7.7240e+02
9.6000e-01   1.2428e-03   7.7246e+02
9.7000e-01   1.2557e-03   7.7250e+02
9.8000e-01   1.2685e-03   7.7257e+02
9.9000e-01   1.2813e-03   7.7266e+02
1.0000e+00   1.2942e-03   7.7270e+02
1.0000e+00   1.2942e-03   7.7270e+02
9.9000e-01   1.2813e-03   7.7265e+02
9.8000e-01   1.2685e-03   7.7255e+02
9.7000e-01   1.2557e-03   7.7249e+02
9.6000e-01   1.2428e-03   7.7243e+02
9.5000e-01   1.2299e-03   7.7242e+02
9.4000e-01   1.2171e-03   7.7235e+02
9.3000e-01   1.2042e-03   7.7227e+02
9.2000e-01   1.1914e-03   7.7221e+02
9.1000e-01   1.1785e-03   7.7216e+02
9.0000e-01   1.1656e-03   7.7213e+02
8.9000e-01   1.1528e-03   7.7207e+02
8.8000e-01   1.1399e-03   7.7199e+02
8.7000e-01   1.1271e-03   7.7193e+02
8.6000e-01   1.1141e-03   7.7190e+02
8.5000e-01   1.1013e-03   7.7184e+02
8.4000e-01   1.0884e-03   7.7174e+02
8.3000e-01   1.0755e-03   7.7171e+02
8.2000e-01   1.0626e-03   7.7168e+02
8.1000e-01   1.0498e-03   7.7155e+02
8.0000e-01   1.0369e-03   7.7151e+02
7.9000e-01   1.0240e-03   7.7150e+02
7.8000e-01   1.0111e-03   7.7146e+02
7.7000e-01   9.9813e-04   7.7144e+02
7.6000e-01   9.8525e-04   7.7138e+02
7.5000e-01   9.7232e-04   7.7135e+02
7.4000e-01   9.5939e-04   7.7132e+02
7.3000e-01   9.4656e-04   7.7121e+02
